user_id,created_at,email,first_name,last_name,country_at_signup,country_current,acquisition_channel,subscription_tier
usr_0001,2025-12-12,user1@gmail.com,Leo,Johnson,FR,FR,referral,free
usr_0002,2026-02-27,user2@gmail.com,Noah,Smith,CA,US,paid_search,free
usr_0003,2025-12-02,user3@gmail.com,Emma,Williams,FR,AU,paid_social,free
usr_0004,2025-09-15,user4@gmail.com,Zara,Brown,AU,US,paid_social,free
usr_0005,2025-12-16,user5@gmail.com,Zara,Brown,GB,CA,paid_search,premium
usr_0006,2025-11-11,user6@gmail.com,Olivia,Johnson,AU,GB,organic,free
usr_0007,2025-09-21,user7@gmail.com,Zara,Jones,CA,DE,paid_social,premium
usr_0008,2025-12-12,user8@gmail.com,Olivia,Jones,CA,GB,organic,free
usr_0009,2025-12-31,user9@gmail.com,Zara,Smith,AU,GB,paid_social,premium
usr_0010,2025-11-14,user10@gmail.com,Aman,Brown,FR,US,organic,free
usr_0011,2025-11-27,user11@gmail.com,Noah,Johnson,FR,DE,organic,premium
usr_0012,2025-12-26,user12@gmail.com,Zara,Williams,DE,DE,organic,free
usr_0013,2025-12-09,user13@gmail.com,Noah,Brown,CA,DE,paid_search,free
usr_0014,2025-12-13,user14@gmail.com,Noah,Johnson,US,US,organic,free
usr_0015,2026-01-30,user15@gmail.com,Liam,Johnson,DE,GB,organic,premium
usr_0016,2026-01-09,user16@gmail.com,Zara,Patel,FR,US,organic,free
usr_0017,2026-01-28,user17@gmail.com,Maya,Williams,AU,FR,paid_social,free
usr_0018,2025-10-23,user18@gmail.com,Liam,Patel,FR,FR,organic,free
usr_0019,2025-09-02,user19@gmail.com,Maya,Smith,AU,US,paid_social,free
usr_0020,2025-11-27,user20@gmail.com,Noah,Patel,DE,DE,organic,free
usr_0021,2026-02-05,user21@gmail.com,Noah,Patel,CA,GB,organic,free
usr_0022,2025-10-08,user22@gmail.com,Liam,Brown,FR,US,paid_search,premium
usr_0023,2026-01-08,user23@gmail.com,Liam,Jones,AU,US,paid_social,premium
usr_0024,2025-09-21,user24@gmail.com,Maya,Johnson,CA,US,organic,premium
usr_0025,2026-02-08,user25@gmail.com,Olivia,Williams,US,CA,paid_social,free
usr_0026,2025-10-28,user26@gmail.com,Maya,Patel,AU,FR,paid_social,premium
usr_0027,2025-09-22,user27@gmail.com,Liam,Williams,DE,DE,referral,premium
usr_0028,2025-11-28,user28@gmail.com,Emma,Jones,US,AU,paid_search,premium
usr_0029,2025-10-19,user29@gmail.com,Liam,Jones,US,DE,paid_search,free
usr_0030,2025-10-29,user30@gmail.com,Emma,Patel,GB,AU,paid_search,free
usr_0031,2026-02-17,user31@gmail.com,Aman,Smith,FR,CA,referral,premium
usr_0032,2025-09-15,user32@gmail.com,Liam,Patel,AU,US,referral,free
usr_0033,2026-02-22,user33@gmail.com,Aman,Brown,US,CA,paid_search,free
usr_0034,2025-10-21,user34@gmail.com,Olivia,Johnson,GB,CA,referral,free
usr_0035,2025-12-17,user35@gmail.com,Maya,Smith,DE,GB,referral,premium
usr_0036,2025-10-25,user36@gmail.com,Emma,Patel,CA,FR,referral,premium
usr_0037,2025-11-03,user37@gmail.com,Maya,Williams,AU,AU,paid_search,premium
usr_0038,2026-01-09,user38@gmail.com,Aman,Smith,US,US,paid_search,free
usr_0039,2025-10-21,user39@gmail.com,Emma,Smith,FR,AU,paid_search,free
usr_0040,2026-01-13,user40@gmail.com,Maya,Patel,GB,DE,referral,free
usr_0041,2025-09-21,user41@gmail.com,Liam,Smith,US,AU,paid_search,free
usr_0042,2025-11-12,user42@gmail.com,Noah,Williams,FR,DE,referral,free
usr_0043,2026-02-14,user43@gmail.com,Aman,Jones,US,FR,organic,free
usr_0044,2025-09-18,user44@gmail.com,Maya,Smith,AU,DE,referral,free
usr_0045,2026-01-10,user45@gmail.com,Aman,Jones,AU,AU,paid_social,free
usr_0046,2025-11-28,user46@gmail.com,Leo,Williams,AU,AU,paid_search,premium
usr_0047,2025-10-30,user47@gmail.com,Aman,Patel,DE,DE,paid_search,free
usr_0048,2025-09-14,user48@gmail.com,Emma,Johnson,DE,CA,paid_social,premium
usr_0049,2025-09-09,user49@gmail.com,Leo,Smith,GB,FR,referral,free
usr_0050,2025-11-29,user50@gmail.com,Zara,Johnson,AU,GB,organic,free
usr_0051,2025-10-23,user51@gmail.com,Emma,Williams,FR,US,paid_social,free
usr_0052,2026-01-08,user52@gmail.com,Noah,Smith,US,AU,paid_social,free
usr_0053,2025-11-23,user53@gmail.com,Leo,Jones,CA,US,referral,free
usr_0054,2025-12-01,user54@gmail.com,Zara,Brown,FR,GB,paid_search,premium
usr_0055,2025-12-20,user55@gmail.com,Liam,Johnson,DE,US,referral,free
usr_0056,2026-02-19,user56@gmail.com,Aman,Smith,DE,GB,paid_social,free
usr_0057,2025-09-08,user57@gmail.com,Maya,Johnson,FR,DE,paid_social,free
usr_0058,2026-02-22,user58@gmail.com,Olivia,Smith,DE,CA,paid_search,premium
usr_0059,2025-10-05,user59@gmail.com,Aman,Patel,AU,AU,paid_search,premium
usr_0060,2025-11-20,user60@gmail.com,Zara,Jones,GB,GB,paid_search,premium
usr_0061,2026-02-11,user61@gmail.com,Aman,Johnson,US,US,referral,free
usr_0062,2025-10-20,user62@gmail.com,Noah,Brown,GB,AU,paid_search,premium
usr_0063,2025-12-13,user63@gmail.com,Liam,Brown,US,CA,paid_social,premium
usr_0064,2026-01-10,user64@gmail.com,Olivia,Williams,US,DE,paid_social,free
usr_0065,2025-09-02,user65@gmail.com,Leo,Smith,GB,AU,organic,premium
usr_0066,2026-01-12,user66@gmail.com,Leo,Johnson,FR,GB,referral,free
usr_0067,2025-10-24,user67@gmail.com,Leo,Williams,US,CA,organic,premium
usr_0068,2025-12-15,user68@gmail.com,Zara,Johnson,GB,US,paid_social,premium
usr_0069,2025-09-04,user69@gmail.com,Emma,Smith,US,CA,organic,free
usr_0070,2025-10-24,user70@gmail.com,Emma,Brown,CA,CA,paid_social,free
usr_0071,2026-01-24,user71@gmail.com,Maya,Patel,FR,FR,organic,premium
usr_0072,2025-10-14,user72@gmail.com,Olivia,Brown,AU,CA,paid_search,free
usr_0073,2026-02-09,user73@gmail.com,Leo,Williams,US,CA,organic,free
usr_0074,2025-09-14,user74@gmail.com,Emma,Jones,CA,AU,paid_search,premium
usr_0075,2025-12-04,user75@gmail.com,Zara,Patel,AU,US,paid_search,free
usr_0076,2025-10-18,user76@gmail.com,Maya,Williams,AU,AU,referral,free
usr_0077,2025-09-15,user77@gmail.com,Liam,Smith,US,AU,paid_search,free
usr_0078,2025-10-10,user78@gmail.com,Maya,Patel,GB,GB,paid_search,free
usr_0079,2025-11-21,user79@gmail.com,Emma,Williams,US,AU,organic,free
usr_0080,2025-12-20,user80@gmail.com,Noah,Smith,CA,FR,paid_social,free
usr_0081,2025-10-23,user81@gmail.com,Zara,Brown,AU,FR,referral,free
usr_0082,2025-09-24,user82@gmail.com,Noah,Jones,US,GB,paid_search,free
usr_0083,2026-02-01,user83@gmail.com,Leo,Smith,GB,DE,referral,premium
usr_0084,2026-01-02,user84@gmail.com,Noah,Johnson,US,US,organic,free
usr_0085,2025-10-11,user85@gmail.com,Leo,Smith,FR,US,paid_search,free
usr_0086,2026-02-04,user86@gmail.com,Leo,Smith,GB,AU,organic,premium
usr_0087,2025-09-15,user87@gmail.com,Emma,Jones,CA,AU,referral,free
usr_0088,2025-10-15,user88@gmail.com,Noah,Johnson,AU,DE,organic,free
usr_0089,2025-11-04,user89@gmail.com,Leo,Williams,US,AU,referral,free
usr_0090,2025-11-28,user90@gmail.com,Olivia,Williams,GB,US,organic,premium
usr_0091,2025-11-10,user91@gmail.com,Liam,Smith,FR,CA,referral,free
usr_0092,2025-09-09,user92@gmail.com,Maya,Johnson,GB,FR,paid_social,free
usr_0093,2025-11-27,user93@gmail.com,Maya,Johnson,DE,CA,organic,premium
usr_0094,2026-01-07,user94@gmail.com,Emma,Jones,FR,CA,organic,free
usr_0095,2026-01-14,user95@gmail.com,Noah,Brown,CA,US,paid_social,free
usr_0096,2025-11-02,user96@gmail.com,Noah,Williams,AU,CA,paid_social,free
usr_0097,2026-01-17,user97@gmail.com,Leo,Jones,CA,DE,organic,free
usr_0098,2025-11-20,user98@gmail.com,Zara,Patel,US,GB,paid_social,premium
usr_0099,2026-01-14,user99@gmail.com,Aman,Williams,GB,AU,paid_search,free
